purchase_amount,customer_rating,product_category,customer_id_legacy,transaction_id,purchase_amount_augmented,log_purchase_amount,customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment,customer_engagement_score,category_purchase_ratio,category_Books,category_Clothing,category_Electronics,category_Groceries,category_Sports
408.0,2.3,Sports,128,1,400.5552830733709,5.995345215249133,A132,LinkedIn,63.0,3.3,Positive,0.7115151515151514,1.388418595494558,False,False,False,False,True
408.0,2.3,Sports,128,1,400.5552830733709,5.995345215249133,A165,LinkedIn,86.0,1.5,Positive,0.850909090909091,1.388418595494558,False,False,False,False,True
408.0,2.3,Sports,128,1,400.5552830733709,5.995345215249133,A172,TikTok,56.0,2.7,Negative,0.6690909090909092,1.388418595494558,False,False,False,False,True
408.0,2.3,Sports,128,1,400.5552830733709,5.995345215249133,A149,Facebook,51.0,1.3,Positive,0.6387878787878788,1.388418595494558,False,False,False,False,True
408.0,2.3,Sports,128,1,400.5552830733709,5.995345215249133,A191,Facebook,92.0,2.1,Positive,0.8872727272727272,1.388418595494558,False,False,False,False,True
332.0,4.2,Electronics,135,2,347.03287791636296,5.852296952082983,A129,Twitter,54.0,4.5,Neutral,0.5955555555555556,1.1760784272315992,False,False,True,False,False
442.0,2.1,Electronics,108,3,456.3738739197681,6.125501161286093,,,,,,0.0,1.5657429663745988,False,False,True,False,False
256.0,2.8,Clothing,135,4,260.257456277377,5.56550634364639,A129,Twitter,54.0,4.5,Neutral,0.5341414141414141,0.849916775383508,False,True,False,False,False
64.0,1.3,Clothing,188,5,61.57927623120176,4.136434172676919,A192,Instagram,60.0,4.3,Positive,0.41535353535353536,0.212479193845877,False,True,False,False,False
395.0,1.1,Groceries,107,6,394.1402439103989,5.979240749760968,,,,,,0.0,1.5958600653349069,False,False,False,True,False
91.0,4.9,Sports,144,7,91.05557874910542,4.522392511482025,A116,Twitter,78.0,1.1,Negative,0.5462626262626262,0.30967179458334504,False,False,False,False,True
91.0,4.9,Sports,144,7,91.05557874910542,4.522392511482025,A116,LinkedIn,89.0,2.4,Neutral,0.612929292929293,0.30967179458334504,False,False,False,False,True
91.0,4.9,Sports,144,7,91.05557874910542,4.522392511482025,A116,Instagram,81.0,4.6,Neutral,0.5644444444444444,0.30967179458334504,False,False,False,False,True
91.0,4.9,Sports,144,7,91.05557874910542,4.522392511482025,A116,TikTok,83.0,1.2,Negative,0.5765656565656566,0.30967179458334504,False,False,False,False,True
91.0,4.9,Sports,144,7,91.05557874910542,4.522392511482025,A116,Twitter,78.0,1.1,Negative,0.5462626262626262,0.30967179458334504,False,False,False,False,True
91.0,4.9,Sports,144,7,91.05557874910542,4.522392511482025,A163,TikTok,53.0,4.0,Neutral,0.39474747474747474,0.30967179458334504,False,False,False,False,True
91.0,4.9,Sports,144,7,91.05557874910542,4.522392511482025,A163,TikTok,96.0,3.2,Neutral,0.6553535353535354,0.30967179458334504,False,False,False,False,True
429.0,4.3,Clothing,187,8,417.5264532738748,6.036740097666347,A124,TikTok,75.0,4.6,Neutral,0.8012121212121213,1.4242745962481442,False,True,False,False,False
